,Unnamed: 0,RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4,Wins,Losses,WinsPct,ConfWins,ConfLosses,ConfWinsPct,NonConfWins,NonConfLosses,NonConfWinsPct,RoadWins,RoadLosses,RoadWinsPct,Q1Wins,Q1Losses,Q1WinsPct,Q2Wins,Q2Losses,Q2WinsPct,Q3Wins,Q3Losses,Q3WinsPct,Q4Wins,Q4Losses,Q4WinsPct,WAB,BARTHAG,ADJOE,ADJDE,EFG_D,ORB
24,121,2020-21-Oklahoma,2020-21,Oklahoma,Big 12,32.0,AL,36.0,37.0,62.0,103.0,15-10,9-10,1-5,6-4,26.0,159.0,9-5,0-0,1-4,6-00,15.0,10.0,0.6,9.0,10.0,0.4736842105263160,1.0,5.0,0.1666666666666670,6.0,4.0,0.6,9.0,5.0,0.6428571428571430,0.0,0.0,0.0,1.0,4.0,0.2,6.0,0.0,1.0,0.3,0.8642,111.0,94.5,48.9,27.3
25,122,2020-21-St.Bonaventure,2020-21,St. Bonaventure,Atlantic 10,37.0,AQ,23.0,27.0,85.0,118.0,16-4,14-4,2-00,3-4,99.0,239.0,2-4,1-3,1-5,4-00,16.0,4.0,0.8,14.0,4.0,0.7777777777777780,2.0,0.0,1.0,3.0,4.0,0.4285714285714290,2.0,4.0,0.3333333333333330,1.0,3.0,0.25,1.0,5.0,0.1666666666666670,4.0,0.0,1.0,2.1,0.8864,111.1,92.9,45.5,33.6
26,129,2020-21-ClevelandSt.,2020-21,Cleveland St.,Horizon,60.0,AQ,160.0,160.0,242.0,213.0,19-7,19-4,0-3,5-8,215.0,6.0,3-1,0-1,0-0,18-3,19.0,7.0,0.7307692307692310,19.0,4.0,0.8260869565217390,0.0,3.0,0.0,5.0,8.0,0.3846153846153850,3.0,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,0.8571428571428570,-2.7,0.4785,99.9,100.7,48.9,30.9
27,132,2020-21-Iowa,2020-21,Iowa,Big Ten,7.0,AL,6.0,6.0,35.0,88.0,21-8,15-7,1-6,4-6,15.0,165.0,6-8,2-5,3-00,5-00,21.0,8.0,0.7241379310344830,15.0,7.0,0.6818181818181820,1.0,6.0,0.1428571428571430,4.0,6.0,0.4,6.0,8.0,0.4285714285714290,2.0,5.0,0.2857142857142860,3.0,0.0,1.0,5.0,0.0,1.0,5.6,0.9491,123.5,95.7,48.3,30.7
28,135,2020-21-Texas,2020-21,Texas,Big 12,11.0,AQ,21.0,21.0,26.0,84.0,19-7,13-6,1-6,2-6,21.0,89.0,6-8,1-2,5-00,4-00,19.0,7.0,0.7307692307692310,13.0,6.0,0.6842105263157900,1.0,6.0,0.1428571428571430,2.0,6.0,0.25,6.0,8.0,0.4285714285714290,1.0,2.0,0.3333333333333330,5.0,0.0,1.0,4.0,0.0,1.0,4.2,0.9058,113.8,93.5,46.7,31.3
29,154,2020-21-SanDiegoSt.,2020-21,San Diego St.,Mountain West,24.0,AQ,18.0,18.0,97.0,131.0,22-4,17-3,1-5,2-6,116.0,78.0,3-1,1-7,8-00,6-00,22.0,4.0,0.8461538461538460,17.0,3.0,0.85,1.0,5.0,0.1666666666666670,2.0,6.0,0.25,3.0,1.0,0.75,1.0,7.0,0.125,8.0,0.0,1.0,6.0,0.0,1.0,2.8,0.9191,111.1,90.0,46.7,29.9
30,155,2020-21-VirginiaTech,2020-21,Virginia Tech,ACC,38.0,AL,48.0,48.0,78.0,113.0,15-6,5-9,1-6,3-3,88.0,202.0,3-2,3-3,5-00,5-00,15.0,6.0,0.7142857142857140,5.0,9.0,0.3571428571428570,1.0,6.0,0.1428571428571430,3.0,3.0,0.5,3.0,2.0,0.6,3.0,3.0,0.5,5.0,0.0,1.0,5.0,0.0,1.0,0.9,0.8426,109.3,94.5,48.4,28.4
31,158,2020-21-AppState,2020-21,App State,Sun Belt,68.0,AQ,210.0,210.0,219.0,202.0,13-11,8-11,3-2,7-4,236.0,98.0,0-2,0-1,2-7,6-6,13.0,11.0,0.5416666666666670,8.0,11.0,0.4210526315789470,3.0,2.0,0.6,7.0,4.0,0.6363636363636360,0.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,0.2222222222222220,6.0,6.0,0.5,-7.7,0.3512,99.0,104.4,50.4,27.8
32,175,2020-21-VCU,2020-21,VCU,Atlantic 10,39.0,AL,37.0,36.0,72.0,108.0,19-7,5-12,2-7,3-5,81.0,104.0,5-2,7-00,2-6,4-00,19.0,7.0,0.7307692307692310,5.0,12.0,0.2941176470588240,2.0,7.0,0.2222222222222220,3.0,5.0,0.375,5.0,2.0,0.7142857142857140,7.0,0.0,1.0,2.0,6.0,0.25,4.0,0.0,1.0,1.3,0.854,104.6,89.7,45.8,28.3
33,176,2020-21-Kansas,2020-21,Kansas,Big 12,12.0,AL,11.0,11.0,35.0,88.0,19-8,13-6,2-6,6-4,16.0,45.0,8-7,2-00,5-00,5-00,19.0,8.0,0.7037037037037040,13.0,6.0,0.6842105263157900,2.0,6.0,0.25,6.0,4.0,0.6,8.0,7.0,0.5333333333333330,2.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,4.2,0.8964,108.5,90.0,47.0,30.9
34,193,2020-21-Illinois,2020-21,Illinois,Big Ten,3.0,AQ,3.0,3.0,8.0,66.0,23-6,19-4,2-4,3-9,7.0,36.0,5-12,1-5,4-00,2-00,23.0,6.0,0.7931034482758620,19.0,4.0,0.8260869565217390,2.0,4.0,0.3333333333333330,3.0,9.0,0.25,5.0,12.0,0.2941176470588240,1.0,5.0,0.1666666666666670,4.0,0.0,1.0,2.0,0.0,1.0,8.9,0.9539,117.7,90.4,46.6,33.0
35,205,2020-21-LoyolaChicago,2020-21,Loyola Chicago,MVC,30.0,AQ,10.0,10.0,146.0,164.0,22-4,19-2,2-3,3-8,143.0,102.0,2-2,2-4,4-00,12-00,22.0,4.0,0.8461538461538460,19.0,2.0,0.9047619047619050,2.0,3.0,0.4,3.0,8.0,0.2727272727272730,2.0,2.0,0.5,2.0,4.0,0.3333333333333330,4.0,0.0,1.0,12.0,0.0,1.0,1.7,0.9136,108.5,88.3,46.7,26.0
36,214,2020-21-WichitaSt.,2020-21,Wichita St.,The American,45.0,AL,72.0,72.0,81.0,115.0,14-5,3-12,2-2,2-5,93.0,41.0,3-2,1-2,1-6,4-00,14.0,5.0,0.7368421052631580,3.0,12.0,0.2,2.0,2.0,0.5,2.0,5.0,0.2857142857142860,3.0,2.0,0.6,1.0,2.0,0.3333333333333330,1.0,6.0,0.1428571428571430,4.0,0.0,1.0,1.3,0.7823,109.6,98.1,47.1,29.8
37,216,2020-21-TexasSouthern,2020-21,Texas Southern,SWAC,66.0,AQ,208.0,208.0,324.0,240.0,15-8,13-3,5-2,6-5,199.0,26.0,0-4,0-1,1-1,14-2,15.0,8.0,0.6521739130434780,13.0,3.0,0.8125,5.0,2.0,0.7142857142857140,6.0,5.0,0.5454545454545450,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,14.0,2.0,0.875,-4.5,0.3307,97.3,103.5,46.5,32.9
38,222,2020-21-FloridaSt.,2020-21,Florida St.,ACC,13.0,AL,25.0,24.0,40.0,90.0,16-6,5-12,1-4,4-3,57.0,195.0,4-3,1-7,1-2,4-00,16.0,6.0,0.7272727272727270,5.0,12.0,0.2941176470588240,1.0,4.0,0.2,4.0,3.0,0.5714285714285710,4.0,3.0,0.5714285714285710,1.0,7.0,0.125,1.0,2.0,0.3333333333333330,4.0,0.0,1.0,2.5,0.9305,117.8,94.0,46.5,35.4
39,223,2020-21-Maryland,2020-21,Maryland,Big Ten,36.0,AL,35.0,35.0,5.0,65.0,15-13,12-10,1-5,6-4,12.0,207.0,10-4,3-3,6-00,2-00,15.0,13.0,0.5357142857142860,12.0,10.0,0.5454545454545450,1.0,5.0,0.1666666666666670,6.0,4.0,0.6,10.0,4.0,0.7142857142857140,3.0,3.0,0.5,6.0,0.0,1.0,2.0,0.0,1.0,0.2,0.8735,110.0,93.0,48.5,20.9
40,224,2020-21-LSU,2020-21,LSU,SEC,29.0,AL,28.0,28.0,33.0,87.0,18-9,13-7,2-5,6-4,28.0,161.0,8-5,1-3,6-00,4-00,18.0,9.0,0.6666666666666670,13.0,7.0,0.65,2.0,5.0,0.2857142857142860,6.0,4.0,0.6,8.0,5.0,0.6153846153846150,1.0,3.0,0.25,6.0,0.0,1.0,4.0,0.0,1.0,2.4,0.8868,119.3,99.8,48.5,31.5
41,231,2020-21-NorthTexas,2020-21,North Texas,CUSA,52.0,AQ,59.0,61.0,121.0,151.0,16-9,13-5,4-3,6-5,120.0,34.0,0-3,2-3,4-6,7-00,16.0,9.0,0.64,13.0,5.0,0.7222222222222220,4.0,3.0,0.5714285714285710,6.0,5.0,0.5454545454545450,0.0,3.0,0.0,2.0,3.0,0.4,4.0,6.0,0.4,7.0,0.0,1.0,-2.5,0.7578,104.4,94.6,45.7,27.9
42,238,2020-21-UtahSt.,2020-21,Utah St.,Mountain West,42.0,AL,39.0,39.0,126.0,153.0,19-8,17-5,3-2,3-6,114.0,111.0,5-2,1-2,2-7,8-00,19.0,8.0,0.7037037037037040,17.0,5.0,0.7727272727272730,3.0,2.0,0.6,3.0,6.0,0.3333333333333330,5.0,2.0,0.7142857142857140,1.0,2.0,0.3333333333333330,2.0,7.0,0.2222222222222220,8.0,0.0,1.0,-1.1,0.8569,105.2,90.0,45.6,35.3
43,243,2020-21-Clemson,2020-21,Clemson,ACC,27.0,AL,41.0,41.0,23.0,79.0,16-7,7-10,6-00,5-2,32.0,37.0,6-3,7-00,1-5,1-00,16.0,7.0,0.6956521739130440,7.0,10.0,0.4117647058823530,6.0,0.0,1.0,5.0,2.0,0.7142857142857140,6.0,3.0,0.6666666666666670,7.0,0.0,1.0,1.0,5.0,0.1666666666666670,1.0,0.0,1.0,2.9,0.8374,105.9,91.9,48.7,26.6
44,248,2020-21-Alabama,2020-21,Alabama,SEC,5.0,AQ,7.0,7.0,11.0,69.0,24-6,19-2,4-5,3-7,33.0,108.0,4-8,1-9,1-7,0-0,24.0,6.0,0.8,19.0,2.0,0.9047619047619050,4.0,5.0,0.4444444444444440,3.0,7.0,0.3,4.0,8.0,0.3333333333333330,1.0,9.0,0.1,1.0,7.0,0.125,0.0,0.0,0.0,6.8,0.9343,111.0,88.1,45.3,31.5
45,249,2020-21-Gonzaga,2020-21,Gonzaga,WCC,1.0,AQ,1.0,1.0,95.0,130.0,26-0,17-0,9-00,7-00,79.0,46.0,8-00,6-00,5-00,7-00,26.0,0.0,1.0,17.0,0.0,1.0,9.0,0.0,1.0,7.0,0.0,1.0,8.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,1.0,7.0,0.0,1.0,8.5,0.9791,125.4,89.8,47.5,30.4
46,261,2020-21-Iona,2020-21,Iona,MAAC,62.0,AQ,138.0,138.0,293.0,227.0,5-12,3-10,2-2,3-4,315.0,198.0,0-1,0-0,2-00,4-10,5.0,12.0,0.2941176470588240,3.0,10.0,0.2307692307692310,2.0,2.0,0.5,3.0,4.0,0.4285714285714290,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,10.0,0.2857142857142860,-3.2,0.545,101.1,99.5,45.6,33.4
47,262,2020-21-Drake,2020-21,Drake,MVC,48.0,AL,45.0,45.0,184.0,184.0,23-4,16-4,7-00,2-9,175.0,305.0,2-1,5-00,2-6,11-00,23.0,4.0,0.8518518518518520,16.0,4.0,0.8,7.0,0.0,1.0,2.0,9.0,0.1818181818181820,2.0,1.0,0.6666666666666670,5.0,0.0,1.0,2.0,6.0,0.25,11.0,0.0,1.0,1.5,0.7508,111.8,101.6,48.4,31.6
48,263,2020-21-Missouri,2020-21,Missouri,SEC,33.0,AL,47.0,47.0,13.0,70.0,16-9,9-9,7-00,4-6,22.0,71.0,6-7,3-2,6-00,1-00,16.0,9.0,0.64,9.0,9.0,0.5,7.0,0.0,1.0,4.0,6.0,0.4,6.0,7.0,0.4615384615384620,3.0,2.0,0.6,6.0,0.0,1.0,1.0,0.0,1.0,2.1,0.8599,111.3,95.0,48.5,28.6
49,266,2020-21-Florida,2020-21,Florida,SEC,28.0,AL,31.0,31.0,20.0,75.0,14-9,8-10,1-4,5-5,24.0,51.0,5-5,3-3,1-5,1-00,14.0,9.0,0.6086956521739130,8.0,10.0,0.4444444444444440,1.0,4.0,0.2,5.0,5.0,0.5,5.0,5.0,0.5,3.0,3.0,0.5,1.0,5.0,0.1666666666666670,1.0,0.0,1.0,1.4,0.8748,110.6,93.4,47.5,30.7
50,274,2021-22-Texas,2021-22,Texas,Big 12,23.0,AL,16.0,17.0,49.0,107.0,21-11,9-10,2-11,7-4,17.0,170.0,10-5,1-5,3-00,8-00,21.0,11.0,0.65625,9.0,10.0,0.4736842105263160,2.0,11.0,0.1538461538461540,7.0,4.0,0.6363636363636360,10.0,5.0,0.6666666666666670,1.0,5.0,0.1666666666666670,3.0,0.0,1.0,8.0,0.0,1.0,3.4,0.9152,112.5,91.5,47.0,31.6
51,277,2021-22-Longwood,2021-22,Longwood,Big South,55.0,AQ,125.0,126.0,340.0,249.0,22-6,18-1,5-4,5-7,348.0,270.0,0-1,0-1,2-4,18-2,22.0,6.0,0.7857142857142860,18.0,1.0,0.9473684210526320,5.0,4.0,0.5555555555555560,5.0,7.0,0.4166666666666670,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.3333333333333330,18.0,2.0,0.9,-2.3,0.5541,105.7,103.7,51.4,33.2
52,282,2021-22-MontanaSt.,2021-22,Montana St.,Big Sky,58.0,AQ,120.0,120.0,315.0,238.0,25-7,19-4,3-6,6-9,341.0,243.0,0-2,0-0,3-5,20-2,25.0,7.0,0.78125,19.0,4.0,0.8260869565217390,3.0,6.0,0.3333333333333330,6.0,9.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.375,20.0,2.0,0.9090909090909090,-2.8,0.5308,103.6,102.5,49.4,26.7
53,283,2021-22-Akron,2021-22,Akron,MAC,54.0,AQ,127.0,127.0,261.0,217.0,22-9,17-6,3-5,4-8,282.0,289.0,0-2,1-2,4-4,16-2,22.0,9.0,0.7096774193548390,17.0,6.0,0.7391304347826090,3.0,5.0,0.375,4.0,8.0,0.3333333333333330,0.0,2.0,0.0,1.0,2.0,0.3333333333333330,4.0,4.0,0.5,16.0,2.0,0.8888888888888890,-4.3,0.6041,105.5,101.7,49.1,29.0
54,291,2021-22-Michigan,2021-22,Michigan,Big Ten,42.0,AL,34.0,34.0,3.0,71.0,17-14,10-11,4-6,7-5,7.0,31.0,10-5,3-3,1-6,3-00,17.0,14.0,0.5483870967741940,10.0,11.0,0.4761904761904760,4.0,6.0,0.4,7.0,5.0,0.5833333333333330,10.0,5.0,0.6666666666666670,3.0,3.0,0.5,1.0,6.0,0.1428571428571430,3.0,0.0,1.0,0.2,0.8741,113.9,96.2,49.7,31.0
55,296,2021-22-OhioSt.,2021-22,Ohio St.,Big Ten,28.0,AL,26.0,26.0,13.0,86.0,19-11,9-12,2-7,6-5,26.0,51.0,5-5,5-5,1-6,3-00,19.0,11.0,0.6333333333333330,9.0,12.0,0.4285714285714290,2.0,7.0,0.2222222222222220,6.0,5.0,0.5454545454545450,5.0,5.0,0.5,5.0,5.0,0.5,1.0,6.0,0.1428571428571430,3.0,0.0,1.0,1.3,0.8612,115.5,98.5,47.6,29.3
